time;period
1.501;1.45057
2.950;1.44944
4.400;1.44911
5.849;1.44966
7.300;1.45039
8.750;1.45015
10.200;1.44980
11.649;1.44953
13.099;1.44950
14.548;1.44974
15.998;1.44991
17.448;1.44980
18.898;1.44973
20.347;1.44963
21.797;1.44958
23.247;1.44962
24.696;1.44965
26.146;1.44963
27.596;1.44967
29.045;1.44963
30.495;1.44961
31.944;1.44953
33.394;1.44955
34.843;1.44959
36.293;1.44958
37.743;1.44959
39.192;1.44955
40.642;1.44952
42.091;1.44953
43.541;1.44946
44.990;1.44947
46.440;1.44945
47.889;1.44946
49.339;1.44941
50.788;1.44944
52.237;1.44941
53.687;1.44935
55.136;1.44935
56.585;1.44932
58.035;1.44932
59.484;1.44937
60.933;1.44929
62.383;1.44932
63.832;1.44928
65.281;1.44926
66.730;1.44924
68.180;1.44926
69.629;1.44919
71.078;1.44920
72.527;1.44920
73.977;1.44920
75.426;1.44917
76.875;1.44916
78.324;1.44913
79.773;1.44910
81.222;1.44911
82.671;1.44906
84.120;1.44905
85.569;1.44905
87.018;1.44903
88.467;1.44908
89.916;1.44901
91.365;1.44896
92.814;1.44898
94.263;1.44897
95.712;1.44895
97.161;1.44896
98.610;1.44894
100.059;1.44900
101.508;1.44889
102.957;1.44889
104.406;1.44892
105.855;1.44889
107.304;1.44889
108.753;1.44885
110.201;1.44884
111.650;1.44887
113.099;1.44882
114.548;1.44881
115.997;1.44880
117.445;1.44876
118.894;1.44883
120.343;1.44882
121.792;1.44877
123.241;1.44873
124.689;1.44879
126.138;1.44876
127.587;1.44872
129.036;1.44874
130.484;1.44871
131.933;1.44872
133.382;1.44865
134.830;1.44865
136.279;1.44867
137.728;1.44865
139.176;1.44863
140.625;1.44862
142.073;1.44857
143.522;1.44863
144.971;1.44857
146.419;1.44860
147.868;1.44855
149.316;1.44856
