time;period
1.606;1.1900
2.797;1.1903
3.987;1.1907
5.178;1.1908
6.369;1.1907
7.559;1.1902
8.749;1.1905
9.940;1.1906
11.131;1.1906
12.321;1.1905
13.512;1.1904
14.702;1.1904
15.892;1.1905
17.083;1.1905
18.273;1.1905
19.464;1.1904
20.654;1.1904
21.845;1.1904
23.035;1.1904
24.225;1.1904
25.416;1.1904
26.606;1.1903
27.797;1.1903
28.987;1.1903
30.177;1.1903
31.368;1.1903
32.558;1.1903
33.748;1.1903
34.938;1.1903
36.129;1.1903
37.319;1.1903
38.509;1.1903
39.700;1.1902
40.890;1.1902
42.080;1.1902
43.270;1.1902
44.460;1.1902
45.651;1.1902
46.841;1.1902
48.031;1.1902
49.221;1.1902
50.411;1.1902
51.601;1.1901
52.792;1.1901
53.982;1.1901
55.172;1.1901
56.362;1.1901
57.552;1.1901
58.742;1.1900
59.932;1.1901
61.122;1.1900
62.312;1.1901
63.502;1.1901
64.692;1.1900
65.882;1.1900
67.072;1.1900
68.262;1.1899
69.452;1.1900
70.642;1.1900
71.832;1.1899
73.022;1.1900
74.212;1.1899
75.402;1.1899
76.592;1.1900
77.782;1.1899
78.972;1.1899
80.162;1.1899
81.351;1.1899
82.541;1.1899
83.731;1.1898
84.921;1.1898
86.111;1.1898
87.301;1.1898
88.491;1.1898
89.680;1.1898
90.870;1.1898
92.060;1.1898
93.250;1.1898
94.440;1.1898
95.629;1.1898
96.819;1.1898
98.009;1.1897
99.199;1.1898
100.388;1.1898
101.578;1.1897
102.768;1.1897
103.957;1.1897
105.147;1.1897
106.337;1.1897
107.526;1.1897
108.716;1.1896
109.906;1.1896
111.095;1.1896
112.285;1.1896
113.474;1.1896
114.664;1.1896
115.854;1.1895
117.043;1.1895
118.233;1.1895
119.422;1.1895
120.612;1.1895
121.801;1.1895
122.991;1.1895
124.180;1.1895
125.370;1.1895
126.559;1.1895
127.749;1.1895
128.938;1.1895
130.128;1.1894
