time;period
1.406;1.1824
2.588;1.1818
3.769;1.1815
4.951;1.1821
6.133;1.1822
7.315;1.1817
8.497;1.1819
9.679;1.1820
10.861;1.1816
12.043;1.1820
13.225;1.1820
14.407;1.1817
15.588;1.1818
16.770;1.1819
17.952;1.1818
19.134;1.1819
20.316;1.1818
21.498;1.1817
22.679;1.1818
23.861;1.1818
25.043;1.1818
26.225;1.1818
27.407;1.1818
28.588;1.1818
29.770;1.1818
30.952;1.1819
32.134;1.1818
33.316;1.1818
34.497;1.1818
35.679;1.1818
36.861;1.1817
38.043;1.1817
39.224;1.1817
40.406;1.1817
41.588;1.1817
42.770;1.1817
43.951;1.1817
45.133;1.1817
46.315;1.1817
47.496;1.1816
48.678;1.1817
49.860;1.1816
51.041;1.1817
52.223;1.1816
53.404;1.1816
54.586;1.1816
55.768;1.1817
56.949;1.1816
58.131;1.1816
59.313;1.1816
60.494;1.1816
61.676;1.1815
62.857;1.1816
64.039;1.1816
65.220;1.1816
66.402;1.1816
67.584;1.1816
68.765;1.1815
69.947;1.1816
71.128;1.1815
72.310;1.1815
73.491;1.1815
74.673;1.1815
75.854;1.1815
77.036;1.1815
78.217;1.1815
79.399;1.1815
80.580;1.1815
81.762;1.1815
82.943;1.1815
84.125;1.1814
85.306;1.1815
86.487;1.1815
87.669;1.1814
88.850;1.1815
90.032;1.1815
91.213;1.1814
92.395;1.1814
93.576;1.1814
94.757;1.1813
95.939;1.1814
97.120;1.1814
98.301;1.1814
99.483;1.1813
100.664;1.1813
101.845;1.1813
103.027;1.1814
104.208;1.1813
105.389;1.1813
106.571;1.1813
107.752;1.1813
108.933;1.1813
110.115;1.1813
111.296;1.1813
112.477;1.1812
113.658;1.1813
114.840;1.1813
116.021;1.1813
117.202;1.1813
118.383;1.1812
119.565;1.1813
120.746;1.1812
121.927;1.1811
