time;period
1.608;1.1912
2.799;1.1908
3.991;1.1915
5.181;1.1907
6.372;1.1911
7.564;1.1912
8.755;1.1910
9.945;1.1908
11.136;1.1908
12.327;1.1911
13.519;1.1911
14.709;1.1909
15.900;1.1909
17.091;1.1909
18.282;1.1909
19.473;1.1910
20.664;1.1909
21.855;1.1909
23.046;1.1908
24.237;1.1909
25.427;1.1909
26.618;1.1908
27.809;1.1908
29.000;1.1908
30.191;1.1908
31.381;1.1908
32.572;1.1908
33.763;1.1908
34.954;1.1907
36.145;1.1908
37.335;1.1907
38.526;1.1907
39.717;1.1907
40.907;1.1906
42.098;1.1907
43.289;1.1907
44.479;1.1907
45.670;1.1906
46.861;1.1906
48.051;1.1906
49.242;1.1906
50.432;1.1906
51.623;1.1906
52.814;1.1906
54.004;1.1906
55.195;1.1905
56.385;1.1906
57.576;1.1905
58.766;1.1905
59.957;1.1905
61.147;1.1905
62.338;1.1905
63.528;1.1905
64.719;1.1905
65.909;1.1905
67.100;1.1905
68.290;1.1905
69.481;1.1904
70.671;1.1904
71.861;1.1904
73.052;1.1904
74.242;1.1904
75.433;1.1904
76.623;1.1904
77.813;1.1903
79.004;1.1904
80.194;1.1903
81.384;1.1903
82.575;1.1904
83.765;1.1902
84.955;1.1903
86.146;1.1904
87.336;1.1903
88.526;1.1903
89.716;1.1902
90.906;1.1899
92.097;1.1903
93.282;1.1857
94.473;1.1907
95.663;1.1898
96.853;1.1897
98.043;1.1901
99.232;1.1897
100.422;1.1899
101.612;1.1899
102.802;1.1897
103.992;1.1898
105.181;1.1898
106.371;1.1898
107.561;1.1898
108.751;1.1897
109.941;1.1897
111.130;1.1898
112.320;1.1895
113.510;1.1898
114.699;1.1896
115.889;1.1897
117.079;1.1897
118.268;1.1896
119.458;1.1896
120.648;1.1897
121.837;1.1896
123.027;1.1897
124.216;1.1896
125.406;1.1897
126.596;1.1896
127.785;1.1896
128.975;1.1896
130.164;1.1896
131.354;1.1895
132.543;1.1895
133.733;1.1895
134.923;1.1895
136.112;1.1895
137.301;1.1894
138.491;1.1895
139.680;1.1894
140.870;1.1895
142.059;1.1895
143.249;1.1894
144.438;1.1894
145.628;1.1894
146.817;1.1894
148.006;1.1894
149.196;1.1894
150.385;1.1894
151.575;1.1894
152.764;1.1893
153.953;1.1894
155.143;1.1893
156.332;1.1893
157.521;1.1893
