time;period
1.440;1.1824
2.623;1.1825
3.805;1.1821
4.988;1.1827
6.171;1.1833
7.353;1.1825
8.536;1.1825
9.718;1.1822
10.901;1.1828
12.084;1.1828
13.266;1.1825
14.449;1.1826
15.631;1.1822
16.814;1.1827
17.997;1.1827
19.179;1.1825
20.361;1.1824
21.544;1.1824
22.726;1.1826
23.909;1.1825
25.091;1.1825
26.274;1.1823
27.456;1.1824
28.639;1.1826
29.821;1.1825
31.004;1.1824
32.186;1.1823
33.368;1.1824
34.551;1.1825
35.733;1.1824
36.915;1.1823
38.098;1.1823
39.280;1.1824
40.463;1.1824
41.645;1.1822
42.827;1.1823
44.009;1.1823
45.192;1.1824
46.374;1.1823
47.556;1.1823
48.739;1.1822
49.921;1.1823
51.103;1.1823
52.285;1.1823
53.468;1.1822
54.650;1.1822
55.832;1.1823
57.014;1.1822
58.197;1.1822
59.379;1.1822
60.561;1.1822
61.743;1.1822
62.925;1.1822
64.108;1.1821
65.290;1.1822
66.472;1.1821
67.654;1.1822
68.836;1.1822
70.018;1.1821
71.200;1.1821
72.383;1.1821
73.565;1.1821
74.747;1.1821
75.929;1.1821
77.111;1.1821
78.293;1.1821
79.475;1.1821
80.657;1.1821
81.839;1.1821
83.021;1.1820
84.203;1.1820
85.385;1.1820
86.567;1.1820
87.749;1.1820
88.931;1.1820
90.113;1.1820
91.295;1.1820
92.477;1.1820
93.659;1.1820
94.841;1.1820
96.023;1.1820
97.205;1.1819
98.387;1.1819
99.569;1.1819
100.751;1.1820
101.933;1.1819
103.115;1.1819
104.297;1.1819
105.479;1.1819
106.661;1.1819
107.842;1.1819
109.024;1.1819
110.206;1.1819
111.388;1.1819
112.570;1.1818
113.752;1.1818
114.934;1.1819
116.115;1.1818
117.297;1.1819
118.479;1.1818
119.661;1.1818
120.843;1.1818
122.025;1.1818
123.206;1.1818
124.388;1.1818
125.570;1.1818
126.752;1.1818
127.934;1.1818
129.115;1.1817
130.297;1.1815
