time;period
1.523;1.18014
2.704;1.18105
3.884;1.18018
5.064;1.18001
6.244;1.17983
7.424;1.17961
8.603;1.17915
9.782;1.17918
10.961;1.17888
12.140;1.17854
13.318;1.17835
14.496;1.17816
15.674;1.17797
16.852;1.17775
18.029;1.17751
19.207;1.17731
20.384;1.17708
21.561;1.17691
22.737;1.17667
23.914;1.17646
25.090;1.17629
26.266;1.17607
27.442;1.17589
28.618;1.17570
29.793;1.17550
30.969;1.17534
32.144;1.17513
33.319;1.17497
34.493;1.17481
35.668;1.17461
36.843;1.17446
38.017;1.17429
39.191;1.17413
40.365;1.17396
41.539;1.17379
42.712;1.17365
43.886;1.17348
45.059;1.17334
46.232;1.17321
47.405;1.17303
48.578;1.17287
49.751;1.17276
50.924;1.17258
52.096;1.17247
53.268;1.17231
54.441;1.17220
55.613;1.17206
56.785;1.17193
57.956;1.17179
59.128;1.17168
60.300;1.17153
61.471;1.17143
62.642;1.17129
63.814;1.17117
64.985;1.17104
66.155;1.17093
67.326;1.17079
68.497;1.17070
69.668;1.17056
70.838;1.17045
72.008;1.17034
73.179;1.17023
74.349;1.17013
75.519;1.17002
76.689;1.16992
77.858;1.16980
79.028;1.16971
80.198;1.16959
81.367;1.16953
82.537;1.16939
83.706;1.16929
84.875;1.16921
86.044;1.16911
87.213;1.16901
88.382;1.16891
89.551;1.16884
90.720;1.16876
91.888;1.16865
93.057;1.16851
94.225;1.16848
95.394;1.16843
96.562;1.16827
97.730;1.16823
98.898;1.16816
100.067;1.16806
101.235;1.16797
102.402;1.16788
103.570;1.16777
104.738;1.16774
105.905;1.16760
107.073;1.16755
108.241;1.16746
109.408;1.16741
110.575;1.16731
111.742;1.16723
112.910;1.16714
114.077;1.16712
115.244;1.16702
116.411;1.16692
117.578;1.16686
118.744;1.16680
119.911;1.16674
121.078;1.16666
122.244;1.16661
123.411;1.16654
124.577;1.16647
125.744;1.16637
126.910;1.16633
128.076;1.16625
129.242;1.16617
130.409;1.16612
131.575;1.16607
132.741;1.16598
133.907;1.16594
135.072;1.16587
136.238;1.16579
137.404;1.16569
138.570;1.16567
139.735;1.16561
140.901;1.16546
142.066;1.16545
143.231;1.16540
144.397;1.16531
145.562;1.16528
146.727;1.16516
147.892;1.16521
149.058;1.16512
150.223;1.16506
151.388;1.16500
152.553;1.16496
153.717;1.16487
154.882;1.16486
156.047;1.16476
157.212;1.16473
158.376;1.16465
159.541;1.16460
160.706;1.16456
161.870;1.16439
163.034;1.16448
164.199;1.16434
165.363;1.16435
166.527;1.16427
167.692;1.16422
168.856;1.16412
170.020;1.16412
171.184;1.16405
172.348;1.16400
173.512;1.16391
174.676;1.16391
175.840;1.16389
177.003;1.16380
178.167;1.16374
179.331;1.16369
180.495;1.16372
181.658;1.16360
182.822;1.16360
183.985;1.16345
185.149;1.16350
186.312;1.16346
187.476;1.16338
188.639;1.16335
189.802;1.16338
190.966;1.16326
192.129;1.16322
193.292;1.16314
194.455;1.16316
195.618;1.16308
196.781;1.16301
197.944;1.16301
199.107;1.16294
200.270;1.16291
201.433;1.16283
202.596;1.16281
203.759;1.16283
204.921;1.16274
206.084;1.16265
207.247;1.16271
208.409;1.16264
209.572;1.16249
210.734;1.16254
211.897;1.16246
213.059;1.16242
214.222;1.16241
215.384;1.16232
216.546;1.16232
217.708;1.16224
218.871;1.16225
220.033;1.16217
221.195;1.16217
222.357;1.16206
223.519;1.16212
224.681;1.16203
225.843;1.16194
227.005;1.16191
228.167;1.16191
229.329;1.16186
230.491;1.16184
231.653;1.16177
232.814;1.16176
233.976;1.16168
235.138;1.16171
236.299;1.16166
237.461;1.16158
238.622;1.16150
239.784;1.16149
240.945;1.16151
242.107;1.16143
243.268;1.16142
244.430;1.16135
245.591;1.16131
246.752;1.16131
247.913;1.16123
249.075;1.16121
250.236;1.16116
251.397;1.16116
252.558;1.16112
253.719;1.16097
254.880;1.16098
256.041;1.16085
257.202;1.16085
258.363;1.16121
259.524;1.16078
260.685;1.16094
261.845;1.16072
263.006;1.16080
264.167;1.16081
265.328;1.16057
266.488;1.16079
267.649;1.16055
268.809;1.16057
269.970;1.16057
271.131;1.16052
272.291;1.16049
273.452;1.16055
274.612;1.16043
275.772;1.16037
276.933;1.16042
278.093;1.16020
279.253;1.16039
280.414;1.16029
281.574;1.16021
282.734;1.16018
283.894;1.16017
285.054;1.16008
286.214;1.16005
287.374;1.15995
288.534;1.16010
289.694;1.15987
290.854;1.15981
292.014;1.15995
293.174;1.15988
294.334;1.15974
295.493;1.15980
296.653;1.15975
297.813;1.15966
298.973;1.15968
300.132;1.15969
301.292;1.15951
302.451;1.15959
303.611;1.15954
304.770;1.15951
305.930;1.15944
307.089;1.15943
308.249;1.15924
309.408;1.15931
310.567;1.15946
311.727;1.15924
312.886;1.15924
314.045;1.15913
315.204;1.15916
316.363;1.15914
317.522;1.15911
318.681;1.15901
319.840;1.15906
320.999;1.15899
322.158;1.15910
323.318;1.15903
324.477;1.15900
325.635;1.15885
326.794;1.15903
327.953;1.15893
329.112;1.15889
330.271;1.15884
331.430;1.15886
332.589;1.15882
333.748;1.15882
334.906;1.15879
336.065;1.15871
337.224;1.15870
338.382;1.15872
339.541;1.15861
340.700;1.15861
341.858;1.15861
343.017;1.15853
344.175;1.15854
345.334;1.15848
346.492;1.15844
347.651;1.15836
348.809;1.15858
349.967;1.15817
351.126;1.15842
352.284;1.15826
