time;period
1.221;1.1914
2.413;1.1921
3.604;1.1913
4.796;1.1917
5.988;1.1915
7.180;1.1920
8.371;1.1915
9.563;1.1914
10.754;1.1913
11.946;1.1917
13.137;1.1916
14.329;1.1915
15.520;1.1914
16.711;1.1915
17.903;1.1916
19.094;1.1915
20.286;1.1915
21.477;1.1914
22.669;1.1914
23.860;1.1914
25.052;1.1914
26.243;1.1914
27.434;1.1914
28.626;1.1913
29.817;1.1913
31.008;1.1914
32.200;1.1913
33.391;1.1913
34.582;1.1913
35.773;1.1913
36.965;1.1913
38.156;1.1913
39.347;1.1913
40.538;1.1912
41.730;1.1912
42.921;1.1912
44.112;1.1912
45.303;1.1912
46.494;1.1911
47.686;1.1911
48.877;1.1911
50.068;1.1911
51.259;1.1911
52.450;1.1911
53.641;1.1911
54.832;1.1911
56.023;1.1911
57.214;1.1911
58.405;1.1910
59.596;1.1910
60.787;1.1910
61.978;1.1910
63.169;1.1910
64.360;1.1910
65.551;1.1910
66.742;1.1909
67.933;1.1909
69.124;1.1909
70.315;1.1909
71.506;1.1909
72.697;1.1909
73.888;1.1908
75.078;1.1909
76.269;1.1908
77.460;1.1908
78.651;1.1908
79.842;1.1908
81.032;1.1907
82.223;1.1907
83.414;1.1906
84.605;1.1909
85.795;1.1907
86.986;1.1907
88.177;1.1907
89.368;1.1907
90.558;1.1907
91.749;1.1907
92.940;1.1907
94.130;1.1907
95.321;1.1907
96.512;1.1907
97.702;1.1906
98.893;1.1906
100.084;1.1906
101.274;1.1906
102.465;1.1906
103.655;1.1906
104.846;1.1905
106.036;1.1905
107.227;1.1905
108.417;1.1905
109.608;1.1906
110.798;1.1905
111.989;1.1905
113.179;1.1905
114.370;1.1905
115.560;1.1905
116.751;1.1905
117.941;1.1904
119.132;1.1905
120.322;1.1904
121.513;1.1904
