time;period
1.241;1.1825
2.424;1.1830
3.606;1.1821
4.788;1.1826
5.971;1.1826
7.153;1.1822
8.336;1.1825
9.518;1.1826
10.701;1.1825
11.883;1.1824
13.065;1.1823
14.248;1.1825
15.430;1.1824
16.613;1.1823
17.795;1.1823
18.977;1.1823
20.160;1.1824
21.342;1.1823
22.524;1.1823
23.706;1.1823
24.889;1.1823
26.071;1.1823
27.253;1.1823
28.436;1.1822
29.618;1.1823
30.800;1.1823
31.982;1.1823
33.165;1.1822
34.347;1.1823
35.529;1.1822
36.711;1.1823
37.894;1.1822
39.076;1.1822
40.258;1.1822
41.440;1.1821
42.622;1.1821
43.804;1.1822
44.987;1.1821
46.169;1.1821
47.351;1.1822
48.533;1.1821
49.715;1.1821
50.897;1.1821
52.079;1.1822
53.262;1.1822
54.444;1.1821
