time;period
1.365;1.1836
2.548;1.1826
3.730;1.1825
4.914;1.1835
6.097;1.1831
7.279;1.1824
8.462;1.1827
9.645;1.1829
10.828;1.1831
12.011;1.1830
13.193;1.1825
14.376;1.1827
15.559;1.1829
16.742;1.1830
17.925;1.1828
19.107;1.1825
20.290;1.1827
21.473;1.1830
22.656;1.1829
23.839;1.1827
25.021;1.1825
26.204;1.1828
27.387;1.1829
28.570;1.1828
29.752;1.1826
30.935;1.1827
32.118;1.1828
33.300;1.1828
34.483;1.1827
35.666;1.1826
36.848;1.1826
38.031;1.1828
39.214;1.1828
40.397;1.1827
41.579;1.1826
42.762;1.1827
43.945;1.1827
45.127;1.1827
46.310;1.1826
47.493;1.1827
48.675;1.1827
49.858;1.1827
51.041;1.1827
52.223;1.1826
53.406;1.1826
54.588;1.1826
55.771;1.1826
56.954;1.1826
58.136;1.1826
59.319;1.1825
60.501;1.1826
61.684;1.1826
62.866;1.1825
64.049;1.1826
65.231;1.1825
