time;period
1.876;1.30152
3.177;1.30099
4.478;1.30161
5.780;1.30179
7.082;1.30166
8.384;1.30179
9.685;1.30179
10.987;1.30159
12.289;1.30156
13.590;1.30156
14.892;1.30162
16.193;1.30161
17.495;1.30163
18.797;1.30164
20.098;1.30159
21.400;1.30157
22.701;1.30154
24.003;1.30149
25.304;1.30145
26.606;1.30153
27.907;1.30147
29.209;1.30143
30.510;1.30149
31.812;1.30147
33.113;1.30145
34.415;1.30144
35.716;1.30137
37.017;1.30138
38.319;1.30134
39.620;1.30132
40.921;1.30133
42.223;1.30127
43.524;1.30124
44.825;1.30126
46.126;1.30125
47.428;1.30122
48.729;1.30117
50.030;1.30120
51.331;1.30117
52.632;1.30115
53.933;1.30112
55.234;1.30110
56.536;1.30112
57.837;1.30111
59.138;1.30108
60.439;1.30099
61.740;1.30101
63.041;1.30109
64.342;1.30111
65.643;1.30101
66.944;1.30099
68.245;1.30102
69.546;1.30092
70.847;1.30098
72.148;1.30098
73.449;1.30094
74.750;1.30094
76.051;1.30090
77.352;1.30091
78.652;1.30078
79.953;1.30088
81.254;1.30081
82.555;1.30072
83.856;1.30078
85.156;1.30089
86.457;1.30070
87.758;1.30076
89.059;1.30082
90.360;1.30078
91.660;1.30074
92.961;1.30075
94.262;1.30072
95.562;1.30071
96.863;1.30072
98.164;1.30064
99.464;1.30067
100.765;1.30063
102.066;1.30066
103.366;1.30059
104.667;1.30065
105.968;1.30054
107.268;1.30057
108.569;1.30049
109.869;1.30054
111.170;1.30058
112.470;1.30057
113.771;1.30052
115.071;1.30046
116.372;1.30054
117.672;1.30049
118.973;1.30049
120.273;1.30047
121.574;1.30034
122.874;1.30036
124.174;1.30038
125.475;1.30035
126.775;1.30034
128.075;1.30037
129.376;1.30035
130.676;1.30045
131.976;1.30026
133.277;1.30029
134.577;1.30026
135.877;1.30031
137.178;1.30026
138.478;1.30026
139.778;1.30025
141.078;1.30026
142.379;1.30020
143.679;1.30019
144.979;1.30015
146.279;1.30022
147.579;1.30019
148.880;1.30017
150.180;1.30007
151.480;1.30012
